n,px,py,k,i,runtime,gflops,Linf,L2
800,1,1,Y,10000,18.980000,9.444000,0.986538,0.630385
800,1,1,N,10000,19.120000,9.372000,0.986538,0.630385
800,1,2,Y,10000,3.079000,58.210000,0.986538,0.630384
800,1,2,N,10000,4.983000,35.960000,0.942593,0.307619
800,1,4,Y,10000,3.502000,51.170000,0.986538,0.630384
800,1,4,N,10000,1.385000,129.400000,0.942600,0.295290
800,1,8,Y,10000,0.681400,263.000000,0.986538,0.630383
800,1,8,N,10000,0.692900,258.600000,0.943902,-nan
800,2,4,Y,10000,0.829100,216.100000,0.986538,0.630387
800,2,4,N,10000,0.777400,230.500000,0.000000,0.000000
800,1,16,Y,10000,0.431300,415.500000,0.986538,0.630381
800,1,16,N,10000,0.366900,488.400000,0.952780,-nan
800,2,8,Y,10000,0.453000,395.600000,0.986539,0.630427
800,2,8,N,10000,0.396200,452.300000,0.000000,-nan
800,4,4,Y,10000,0.525600,341.000000,0.986538,0.630369
800,4,4,N,10000,0.375400,477.400000,0.000000,-nan
,,,,,,,,
