n,px,py,k,i,runtime,gflops,Linf,L2
800,1,1,Y,3000,1.906000,28.200000,0.992486,0.594605
800,1,1,N,3000,1.915000,28.070000,0.992486,0.594605
800,1,2,Y,3000,0.869100,61.850000,0.992486,0.594604
800,1,2,N,3000,0.953900,56.360000,0.992486,0.576492
800,1,4,Y,3000,0.547100,98.260000,0.992486,0.594604
800,1,4,N,3000,0.467500,115.000000,0.992486,0.566013
800,1,8,Y,3000,0.213400,252.000000,0.992486,0.594604
800,1,8,N,3000,0.259000,207.500000,0.992475,0.544392
800,2,4,Y,3000,0.282700,190.200000,0.992486,0.594600
800,2,4,N,3000,0.265200,202.800000,0.961671,0.463230
800,1,16,Y,3000,0.145900,368.500000,0.992486,0.594603
800,1,16,N,3000,0.130500,411.900000,0.000000,-nan
800,2,8,Y,3000,0.154700,347.600000,0.992486,0.594614
800,2,8,N,3000,0.134500,399.700000,0.961671,-nan
800,4,4,Y,3000,0.169400,317.400000,0.992486,0.594597
800,4,4,N,3000,0.143200,375.500000,0.961671,-nan
,,,,,,,,
