n,px,py,k,i,runtime,gflops,Linf,L2
800,1,12,Y,10000,0.522800,342.800000,0.986538,0.630382
800,2,6,Y,10000,0.524800,341.500000,0.986538,0.630389
800,1,2,Y,10000,4.043000,44.330000,0.986538,0.630384
800,2,1,Y,10000,5.026000,35.650000,0.986538,0.630385
800,4,1,Y,10000,3.200000,55.990000,0.986538,0.630383
800,1,4,Y,10000,1.742000,102.900000,0.986538,0.630384
800,2,2,Y,10000,1.717000,104.400000,0.986538,0.630385
800,1,12,N,10000,0.484700,369.700000,0.947695,-nan
800,2,6,N,10000,0.494800,362.200000,0.000000,-nan
800,1,2,N,10000,2.784000,64.370000,0.942593,0.307619
800,2,1,N,10000,6.376000,28.100000,0.000000,-nan
800,1,4,N,10000,1.659000,108.000000,0.942600,0.295290
800,2,2,N,10000,1.645000,108.900000,0.000000,-nan
,,,,,,,,
