n,px,py,k,i,runtime,gflops,Linf,L2
800,1,2,Y,20000,28.950000,12.380000,0.983168,0.752418
800,1,2,N,20000,28.950000,12.380000,0.983168,0.752418
800,2,1,Y,20000,28.940000,12.390000,0.983168,0.752418
800,2,1,N,20000,28.770000,12.460000,0.983168,0.752418
800,1,2,Y,20000,29.000000,12.360000,0.983168,0.752418
800,1,2,N,20000,29.050000,12.340000,0.983168,0.752418
800,2,1,Y,20000,29.220000,12.260000,0.983168,0.752418
800,2,1,N,20000,28.930000,12.390000,0.983168,0.752418
800,1,16,Y,20000,29.090000,12.320000,0.983168,0.752418
800,1,16,N,20000,29.090000,12.320000,0.983168,0.752418
800,2,8,Y,20000,28.840000,12.430000,0.983168,0.752418
,,,,,,,,
