n,px,py,k,i,runtime,gflops,Linf,L2
800,1,4,Y,100000,18.430000,97.250000,0.966435,0.572112
800,1,4,N,100000,20.430000,87.710000,0.000000,0.000000
800,1,8,Y,100000,6.976000,256.900000,0.966439,0.572398
800,1,8,N,100000,6.590000,271.900000,0.000000,-nan
800,2,4,Y,100000,7.883000,227.300000,0.968900,0.538002
800,2,4,N,100000,7.394000,242.300000,0.000000,-nan
800,1,16,Y,100000,4.131000,433.800000,0.966431,0.572419
800,1,16,N,100000,4.250000,421.600000,0.000000,-nan
800,2,8,Y,100000,4.909000,365.000000,0.969179,0.546082
800,2,8,N,100000,4.393000,407.900000,0.000000,-nan
,,,,,,,,
