n,px,py,k,i,runtime,gflops,Linf,L2
800,1,4,Y,20000,3.310000,108.300000,0.983168,0.752418
800,1,4,N,20000,5.031000,71.240000,0.000000,0.000000
,,,,,,,,
800,1,4,N,100000,63.130000,28.380000,0.000000,0.000000
800,1,4,Y,40000,7.320000,97.920000,0.967152,0.646299
800,1,4,N,40000,5.861000,122.300000,0.000000,0.000000
800,1,1,N,10000,5.404000,33.160000,0.986538,0.630385
,,,,,,,,
,,,,,,,,
2000,1,12,N,20000,69.090000,32.420000,0.992403,-nan
2000,2,6,Y,20000,65.230000,34.340000,0.992493,0.609435
,,,,,,,,
,,,,,,,,
2000,3,4,N,20000,36.260000,61.780000,0.978445,-nan
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2000,1,12,Y,5000,18.710000,29.940000,0.992736,0.643426
2000,1,12,N,5000,17.580000,31.860000,0.992736,0.568787
2000,2,6,Y,5000,22.350000,25.060000,0.992736,0.643424
2000,2,6,N,5000,22.080000,25.360000,0.992736,-nan
2000,3,4,Y,5000,23.300000,24.030000,0.992736,0.643425
2000,3,4,N,5000,7.864000,71.210000,0.992736,-nan
,,,,,,,,
