n,px,py,k,i,runtime,gflops,Linf,L2
2000,1,16,Y,100000,21.240000,527.400000,0.985551,0.613598
2000,1,16,N,100000,19.500000,574.300000,0.000000,-nan
2000,2,8,Y,100000,21.390000,523.500000,0.985552,0.613580
2000,2,8,N,100000,19.950000,561.300000,0.000000,-nan
2000,4,4,Y,100000,21.760000,514.600000,0.985552,0.613592
2000,4,4,N,100000,19.980000,560.400000,0.000000,-nan
2000,8,2,Y,100000,22.190000,504.600000,0.985552,0.613590
2000,8,2,N,100000,20.020000,559.300000,0.000000,-nan
2000,16,1,Y,100000,25.040000,447.300000,0.985552,0.613599
2000,16,1,N,100000,22.580000,496.000000,0.000000,-nan
2000,1,32,Y,100000,12.180000,919.400000,0.985551,0.613597
2000,1,32,N,100000,10.400000,1077.000000,0.000000,-nan
2000,2,16,Y,100000,12.140000,922.200000,0.985551,0.613540
2000,2,16,N,100000,11.210000,998.700000,0.000000,-nan
2000,4,8,Y,100000,12.120000,923.800000,0.985552,0.613573
2000,4,8,N,100000,10.400000,1077.000000,0.000000,-nan
2000,8,4,Y,100000,12.140000,922.300000,0.985552,0.613590
2000,8,4,N,100000,10.850000,1032.000000,0.000000,-nan
2000,16,2,Y,100000,14.610000,766.600000,0.985552,0.613594
2000,16,2,N,100000,11.740000,953.600000,0.000000,-nan
2000,32,1,Y,100000,15.660000,715.200000,0.985553,0.613598
2000,32,1,N,100000,13.320000,840.900000,0.000000,-nan
2000,1,64,Y,100000,7.613000,1471.000000,0.985551,0.613595
2000,1,64,N,100000,5.856000,1913.000000,0.000000,-nan
2000,2,32,Y,100000,7.256000,1544.000000,0.985551,0.613477
2000,2,32,N,100000,5.904000,1897.000000,0.000000,-nan
2000,4,16,Y,100000,7.087000,1580.000000,0.985551,0.613564
2000,8,8,Y,100000,6.913000,1620.000000,0.985552,0.613571
2000,8,8,N,100000,5.954000,1881.000000,0.000000,-nan
2000,16,4,Y,100000,7.931000,1412.000000,0.985552,0.613594
2000,16,4,N,100000,6.672000,1679.000000,0.000000,-nan
2000,32,2,Y,100000,8.775000,1276.000000,0.985553,0.613590
2000,32,2,N,100000,6.932000,1616.000000,0.000000,-nan
2000,64,1,Y,100000,10.860000,1031.000000,0.985539,0.613597
2000,64,1,N,100000,8.514000,1316.000000,0.000000,-nan
2000,1,128,Y,100000,8.921000,1255.000000,0.985551,0.613590
2000,1,128,N,100000,4.314000,2596.000000,0.000000,-nan
2000,2,64,Y,100000,5.859000,1912.000000,0.985551,0.613357
2000,2,64,N,100000,4.107000,2727.000000,0.000000,-nan
2000,4,32,Y,100000,5.786000,1936.000000,0.985551,0.613552
2000,4,32,N,100000,3.802000,2946.000000,0.000000,-nan
2000,8,16,Y,100000,5.040000,2222.000000,0.985551,0.613561
2000,8,16,N,100000,3.979000,2815.000000,0.000000,-nan
2000,16,8,Y,100000,5.607000,1997.000000,0.985552,0.613575
2000,16,8,N,100000,4.175000,2683.000000,0.000000,-nan
2000,32,4,Y,100000,6.136000,1825.000000,0.985553,0.613589
2000,32,4,N,100000,4.343000,2579.000000,0.000000,-nan
2000,64,2,Y,100000,7.486000,1496.000000,0.985539,0.613581
2000,64,2,N,100000,5.338000,2098.000000,0.000000,-nan
2000,128,1,Y,100000,11.220000,998.300000,0.985534,0.613595
2000,128,1,N,100000,7.694000,1456.000000,0.000000,-nan
,,,,,,,,
