n,px,py,k,i,runtime,gflops,Linf,L2
2000,1,32,Y,10000,1.286000,871.000000,0.992494,0.579890
2000,1,32,N,10000,1.122000,998.600000,0.969639,-nan
2000,2,16,Y,10000,1.360000,823.400000,0.992494,0.579885
2000,2,16,N,10000,1.073000,1044.000000,0.982985,-nan
2000,4,8,Y,10000,1.420000,788.500000,0.992494,0.579888
2000,4,8,N,10000,1.079000,1038.000000,0.982985,-nan
2000,8,4,Y,10000,1.603000,698.800000,0.992494,0.579889
2000,8,4,N,10000,1.079000,1038.000000,0.982985,-nan
2000,16,2,Y,10000,1.930000,580.400000,0.992494,0.579890
2000,16,2,N,10000,1.208000,927.300000,0.982985,-nan
2000,32,1,Y,10000,1.882000,595.100000,0.992494,0.579890
2000,32,1,N,10000,1.282000,873.500000,0.982835,-nan
,,,,,,,,
