n,px,py,k,i,runtime,gflops,Linf,L2
,,,,,,,,
,,,,,,,,
8000,4,48,Y,8000,37.320000,384.100000,0.999488,0.652693
8000,4,48,N,8000,36.520000,392.500000,0.998629,-nan
8000,8,24,Y,8000,37.410000,383.200000,0.999488,0.652693
8000,8,24,N,8000,36.610000,391.600000,0.999488,-nan
8000,4,64,Y,8000,30.570000,469.000000,0.999488,0.652693
8000,4,64,N,8000,6.975000,2055.000000,0.989918,-nan
8000,8,32,Y,8000,29.930000,479.000000,0.999488,0.652693
8000,8,32,N,8000,10.600000,1353.000000,0.999485,0.489284
8000,16,16,Y,8000,28.230000,507.900000,0.999488,0.652693
8000,16,16,N,8000,7.127000,2011.000000,0.999488,-nan
,,,,,,,,
